epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.10013102675975151;0.100131035;0.08531046099667781;0.08531045913696289
1;0.07639245306228117;0.07639245;0.06752988962553282;0.06752988696098328
2;0.05148773705249815;0.051487733;0.05461969287742728;0.054619692265987396
3;0.028967496957073176;0.028967494;0.04196858831144592;0.04196859151124954
4;0.01672350536781843;0.016723504;0.03636058808685787;0.036360591650009155
5;0.010228888045236523;0.01022889;0.031628873497130484;0.031628869473934174
6;0.006155927518043739;0.006155927;0.02984417064919263;0.029844170436263084
7;0.0033382187160606166;0.0033382194;0.028515061564786497;0.028515063226222992
8;0.002271413874891052;0.0022714136;0.027519554749529714;0.027519553899765015
9;0.0016826758926463772;0.0016826763;0.027152489933298093;0.027152491733431816
10;0.0012045471430143246;0.0012045471;0.026708525319802993;0.02670852467417717
11;0.0008877086636645004;0.00088770845;0.02636783777901685;0.02636783942580223
12;0.0006946335542948519;0.0006946336;0.026390383823901242;0.026390384882688522
13;0.0005955830655391824;0.00059558306;0.026554425801314105;0.026554429903626442
14;0.0005483556791002593;0.00054835563;0.026144077630218376;0.026144079864025116
15;0.0005479321085447939;0.0005479322;0.02620174583803626;0.026201745495200157
16;0.00067479047789612;0.00067479047;0.02611614581574522;0.0261161457747221
17;0.0007345090759344258;0.000734509;0.02641447431514822;0.026414476335048676
18;0.0008106992896399634;0.0008106993;0.026157370646883196;0.02615736983716488
19;0.0008828434887133132;0.00088284357;0.026188851000597542;0.02618885412812233
20;0.0010577957747786393;0.0010577958;0.02641406923524672;0.026414070278406143
21;0.0012127210502207522;0.0012127211;0.026439804128626596;0.026439804583787918
22;0.0014317625358028754;0.0014317625;0.026324678483938258;0.0263246800750494
23;0.0014752696332237017;0.0014752697;0.025735034172212696;0.025735031813383102
24;0.0012971871612714647;0.0012971872;0.025928404827821487;0.025928404182195663
25;0.0011792643908723822;0.001179264;0.02612741334304237;0.026127412915229797
26;0.0010875410938271145;0.0010875411;0.025482456654497762;0.025482455268502235
27;0.0009007880521396602;0.0009007883;0.025843026145792595;0.025843026116490364
28;0.0007730866328487881;0.0007730866;0.025337492696468157;0.025337491184473038
29;0.0007628585758541359;0.0007628586;0.025352445128752288;0.025352442637085915
30;0.0009161918658182498;0.00091619184;0.025352715341228745;0.025352714583277702
31;0.0009773706663355982;0.0009773705;0.025535003784663026;0.02553500607609749
32;0.000896823629294925;0.00089682353;0.025472299477615843;0.025472300127148628
33;0.0007421027927102221;0.00074210303;0.025081145627434864;0.025081144645810127
34;0.0006833148168011187;0.00068331487;0.02518085018777072;0.02518085017800331
35;0.000677317001197075;0.000677317;0.025131656217384415;0.025131653994321823
36;0.0007658169244084699;0.000765817;0.025468141680527683;0.025468140840530396
37;0.0007648414316050919;0.0007648415;0.025197183102853772;0.025197181850671768
38;0.0008587770715383222;0.00085877697;0.024980379817455493;0.02498037740588188
39;0.0008572163873749644;0.00085721636;0.025285778299567897;0.025285780429840088
40;0.0008836491425352207;0.00088364916;0.025269527724730637;0.0252695269882679
41;0.0010509196754083952;0.0010509198;0.025030143569723187;0.025030143558979034
42;0.0010971014308118064;0.0010971015;0.025579449618611277;0.02557944878935814
43;0.0011121440839630908;0.001112144;0.02463363862328337;0.02463364228606224
44;0.0010758456639448834;0.0010758456;0.02465926793095762;0.02465926855802536
45;0.0009352009165709751;0.00093520107;0.024800116432646086;0.024800114333629608
46;0.0007961994182566542;0.00079619954;0.02454382958946487;0.024543827399611473
47;0.0007866658320417017;0.00078666594;0.024116022847338877;0.024116024374961853
48;0.0006629647487761306;0.000662965;0.024093038872798577;0.024093039333820343
49;0.000591182135661852;0.00059118203;0.02457142423781726;0.02457142248749733
50;0.0005142886078853978;0.00051428867;0.024062729443071335;0.024062728509306908
51;0.00047215726345608536;0.00047215723;0.024242178165301578;0.024242177605628967
52;0.0004911458217698835;0.0004911458;0.02420167845303186;0.024201679974794388
53;0.0004801955993429381;0.0004801956;0.023997353311719916;0.02399735525250435
54;0.000526404918317244;0.00052640506;0.024030048356210303;0.02403004840016365
55;0.000589751471907211;0.00058975146;0.02398983415218161;0.023989832028746605
56;0.0006085990007962362;0.00060859905;0.0242771568264193;0.024277158081531525
57;0.0006443094470092316;0.00064430945;0.024268592941742263;0.02426859177649021
58;0.0006805637117092389;0.0006805638;0.024284809135295172;0.024284811690449715
59;0.0008531120318177586;0.000853112;0.024176621685555674;0.024176623672246933
60;0.0011232108276730034;0.0011232108;0.02446245575078539;0.02446245588362217
61;0.001226850093843432;0.0012268499;0.024075480378230454;0.024075482040643692
62;0.0011955159950725964;0.0011955163;0.023773063138307047;0.023773064836859703
63;0.0011578957979016956;0.0011578957;0.024822266326995503;0.024822264909744263
64;0.0012505368612717406;0.0012505369;0.02365481757471464;0.023654814809560776
65;0.0011830790977222785;0.001183079;0.023683469694676235;0.023683471605181694
66;0.0010123942393490163;0.0010123942;0.02333147479216341;0.023331474512815475
67;0.0009163029825031136;0.00091630314;0.023314597558837694;0.023314595222473145
68;0.0008227964465159143;0.00082279637;0.02388126519423195;0.02388126589357853
69;0.0006881898978293356;0.00068819;0.02334023379746631;0.02334023453295231
70;0.0005827134527428653;0.00058271346;0.02347992827278754;0.023479929193854332
71;0.0005036162141952019;0.00050361623;0.023079289246485318;0.023079289123415947
72;0.0004321227506277804;0.00043212276;0.023261630324540365;0.02326163277029991
73;0.00036765849080113046;0.00036765847;0.02293209652365129;0.02293209731578827
74;0.00034896168341605244;0.00034896168;0.023058895316652808;0.023058896884322166
75;0.00032382703161718814;0.00032382706;0.02335420254408907;0.02335420250892639
76;0.0003401098881728994;0.00034010987;0.023170458736981342;0.023170456290245056
77;0.00037901537212302425;0.00037901537;0.023256172363045145;0.023256171494722366
78;0.00046053417614262156;0.00046053418;0.023284460243578036;0.023284457623958588
79;0.000545322758352089;0.0005453227;0.02311435719345431;0.023114359006285667
80;0.0006483020964183605;0.000648302;0.02307381803842821;0.023073816671967506
81;0.0008038035904652648;0.0008038036;0.023534430709570318;0.023534433916211128
82;0.0009757516783328584;0.00097575184;0.023509686348806454;0.023509684950113297
83;0.0011152735665048885;0.0011152735;0.023179816452304793;0.023179814219474792
84;0.0012184461596674385;0.0012184462;0.02363759762933258;0.023637594655156136
85;0.001235857005268931;0.0012358571;0.023387210464127475;0.023387212306261063
86;0.0011292835777502372;0.0011292837;0.022780419182272624;0.022780420258641243
87;0.0011032228153279539;0.001103223;0.022865399438936673;0.022865399718284607
88;0.0010070953020991052;0.0010070953;0.022478504315424978;0.022478502243757248
89;0.0009026918795905269;0.00090269174;0.022650503748309944;0.022650504484772682
90;0.0008300769370020913;0.000830077;0.022874320105624624;0.022874321788549423
91;0.0006925193994895979;0.00069251953;0.022785819512628327;0.022785818204283714
92;0.0005785392077477804;0.0005785393;0.02219562517116691;0.02219562791287899
93;0.0004774167177506186;0.0004774168;0.022254274998838888;0.022254273295402527
94;0.00042771375134336266;0.0004277137;0.021944152838860625;0.02194415032863617
95;0.00037974869376929956;0.0003797487;0.02237952882487485;0.02237953059375286
96;0.00037058790897284883;0.00037058783;0.022212742305764616;0.022212741896510124
97;0.000359889586989909;0.00035988956;0.022433352948219663;0.02243335172533989
98;0.0003688873842769553;0.0003688874;0.0221801692679501;0.022180167958140373
99;0.0003838619060784346;0.00038386195;0.02237636787112652;0.022376365959644318
100;0.0004089169259207283;0.00040891688;0.02217319656864754;0.022173196077346802
